Class,Category
0,[3]
0,[6]
0,[5]
0,[4]
0,[6]
0,[6]
0,[3]
0,[2]
0,[3]
0,[4]
1,[2]
1,[4]
1,[4]
1,[4]
1,[7]
1,[4]
1,[2]
1,[2]
1,[2]
1,[2]
1,[2]
1,[2]
1,[2]
1,[2]
1,[3]
1,[6]
1,[3]
1,[6]
1,[3]
1,[4]
1,[2]
1,[6]
1,[4]
1,[4]
1,[7]
1,[4]
1,[2]
1,[2]
1,[3]
1,[5]
1,[2]
1,[3]
1,[1]
1,[1]
1,[5]
1,[1]
1,[8]
2,[9]
2,[9]
2,[1]
2,[4]
2,[2]
2,[5]
2,[1]
2,[5]
3,[5]
3,[3]
3,[4]
3,[3]
3,[5]
3,[2]
3,[2]
3,[1]
3,[1]
3,[5]
3,[2]
3,[7]
3,[1]
3,[3]
3,[3]
3,[5]
4,[1]
4,[6]
4,[1]
4,[1]
4,[2]
4,[8]
4,[3]
4,[1]
4,[4]
4,[1]
4,[4]
5,[3]
5,[7]
5,[4]
5,[3]
5,[3]
5,[3]
5,[2]
5,[2]
5,[3]
5,[4]
5,[4]
5,[4]
5,[2]
5,[3]
5,[3]
5,[5]
6,[4]
6,[5]
6,[5]
6,[3]
6,[1]
6,[5]
6,[4]
6,[2]
6,[4]
6,[4]
6,[2]
6,[2]
6,[2]
6,[2]
7,[2]
7,[8]
7,[4]
7,[2]
7,[5]
7,[6]
7,[4]
7,[4]
7,[5]
7,[4]
7,[9]
7,[4]
7,[5]
7,[1]
7,[1]
8,[3]
8,[3]
8,[3]
8,[8]
8,[3]
8,[2]
8,[4]
8,[2]
8,[1]
8,[3]
8,[5]
8,[4]
8,[2]
9,[3]
9,[7]
9,[6]
9,[2]
9,[4]
9,[2]
9,[1]
9,[2]
9,[3]
9,[6]
9,[5]
10,[3]
10,[4]
10,[4]
10,[5]
10,[2]
10,[2]
10,[6]
10,[7]
10,[3]
10,[3]
11,[3]
11,[3]
11,[5]
11,[3]
11,[6]
11,[2]
11,[3]
11,[7]
11,[3]
11,[2]
11,[8]
11,[5]
11,[1]
12,[1]
12,[2]
12,[2]
12,[5]
12,[1]
12,[2]
12,[2]
12,[1]
13,[5]
13,[2]
13,[2]
13,[3]
13,[2]
13,[1]
13,[5]
13,[3]
13,[5]
13,[1]
13,[5]
13,[3]
13,[4]
13,[5]
13,[1]
13,[1]
13,[1]
14,[3]
14,[5]
14,[2]
14,[1]
14,[3]
14,[4]
14,[2]
14,[3]
14,[3]
14,[3]
14,[6]
14,[2]
14,[2]
15,[2]
15,[3]
15,[3]
15,[6]
15,[2]
15,[1]
15,[7]
15,[4]
15,[3]
15,[3]
16,[2]
16,[1]
16,[7]
16,[7]
16,[3]
16,[3]
16,[4]
16,[1]
16,[3]
17,[1]
17,[1]
17,[2]
17,[1]
17,[4]
17,[4]
17,[2]
17,[4]
17,[4]
17,[3]
17,[3]
17,[5]
17,[3]
17,[1]
17,[5]
17,[8]
17,[7]
18,[1]
18,[6]
18,[3]
18,[3]
18,[3]
18,[5]
18,[6]
18,[6]
18,[2]
18,[3]
19,[2]
19,[4]
19,[3]
19,[2]
19,[3]
19,[9]
19,[3]
19,[9]
19,[3]
19,[2]
19,[8]
19,[7]
19,[1]
19,[3]
19,[3]
19,[1]
19,[3]
19,[8]
20,[1]
20,[7]
20,[2]
20,[1]
20,[5]
20,[7]
20,[7]
20,[1]
20,[2]
20,[2]
20,[2]
20,[2]
21,[1]
21,[1]
21,[5]
21,[3]
21,[1]
21,[1]
21,[4]
21,[4]
21,[1]
21,[2]
21,[1]
21,[3]
21,[2]
22,[4]
22,[2]
22,[4]
22,[5]
22,[4]
22,[4]
22,[3]
22,[4]
22,[1]
22,[1]
22,[6]
23,[4]
23,[4]
23,[3]
23,[3]
23,[4]
23,[4]
23,[7]
23,[2]
23,[2]
23,[4]
23,[5]
23,[1]
23,[3]
24,[5]
24,[2]
24,[3]
24,[3]
24,[3]
24,[2]
24,[5]
24,[1]
24,[4]
24,[3]
24,[2]
25,[7]
25,[4]
25,[1]
25,[9]
25,[9]
25,[2]
25,[6]
25,[3]
25,[2]
25,[3]
25,[2]
25,[2]
25,[3]
26,[2]
26,[3]
26,[5]
26,[3]
26,[5]
26,[4]
26,[2]
26,[1]
26,[4]
26,[5]
26,[7]
26,[5]
26,[1]
26,[5]
26,[3]
26,[8]
26,[3]
26,[6]
26,[4]
26,[3]
26,[5]
27,[3]
27,[3]
27,[1]
27,[3]
27,[3]
27,[2]
27,[5]
27,[4]
27,[3]
27,[3]
28,[4]
28,[3]
28,[3]
28,[4]
28,[6]
28,[4]
28,[1]
28,[8]
28,[5]
28,[1]
28,[8]
28,[8]
28,[4]
28,[5]
28,[5]
29,[2]
29,[1]
